2, 1, 0.266227
3, 1, 0.302131
4, 2, 0.107575
5, 3, 0.108702
6, 4, 0.150555
7, 5, 0.287940
8, 6, 0.263934
9, 7, 0.313525
10, 8, 0.407535
11, 9, 0.389846
12, 10, 0.392903
13, 11, 0.439003
14, 7, 0.387956
15, 8, 0.477599
16, 9, 0.442915
17, 10, 0.440899
18, 4, 0.174781
19, 2, 0.100514
20, 3, 0.124931
21, 4, 0.158450
22, 3, 0.136700
23, 4, 0.186101
24, 5, 0.246302
25, 6, 0.244559
26, 7, 0.271025
27, 8, 0.372114
28, 9, 0.399001
29, 10, 0.404749
30, 10, 0.401683
31, 11, 0.484322
32, 12, 0.539645
33, 13, 0.499041
34, 11, 0.467294
35, 11, 0.455598
36, 12, 0.453605
37, 9, 0.358822
38, 10, 0.393279
39, 11, 0.439014
40, 12, 0.474217
2, 1, 0.378074
3, 1, 0.072941
4, 2, 0.094443
5, 3, 0.114327
6, 4, 0.164290
7, 5, 0.279456
8, 6, 0.301966
9, 7, 0.370256
10, 6, 0.400383
11, 7, 0.339145
12, 8, 0.385108
13, 9, 0.380910
14, 10, 0.579166
15, 6, 0.511395
16, 6, 0.338687
17, 7, 0.320326
18, 6, 0.342704
19, 7, 0.322707
20, 5, 0.214631
21, 6, 0.224026
22, 7, 0.250400
23, 8, 0.273177
24, 9, 0.337614
25, 10, 0.385357
26, 11, 0.451721
27, 12, 0.605333
28, 9, 0.344228
29, 8, 0.325952
30, 9, 0.480604
31, 10, 0.472610
32, 11, 0.417581
33, 12, 0.639356
34, 13, 0.640491
35, 14, 0.760989
36, 15, 0.945525
37, 11, 0.646310
38, 9, 0.357812
39, 10, 0.371029
40, 9, 0.333362
2, 1, 0.039975
3, 1, 0.039435
4, 1, 0.018711
5, 2, 0.040674
6, 3, 0.037085
7, 4, 0.054420
8, 5, 0.127491
9, 6, 0.063998
10, 7, 0.071177
11, 8, 0.076875
12, 9, 0.082060
13, 10, 0.152432
14, 10, 0.163164
15, 10, 0.160104
16, 11, 0.163160
17, 11, 0.186982
18, 12, 0.268247
19, 13, 0.203003
20, 14, 0.190244
21, 15, 0.132991
22, 16, 0.212965
23, 17, 0.268648
24, 18, 0.270603
25, 19, 0.358253
26, 20, 0.224920
27, 20, 0.174474
28, 20, 0.172069
29, 21, 0.175742
30, 22, 0.183399
31, 23, 0.205412
32, 24, 0.242404
33, 25, 0.357805
34, 24, 0.336074
35, 25, 0.366201
36, 26, 0.274622
37, 6, 0.213756
38, 5, 0.141820
39, 6, 0.199164
40, 7, 0.106221
2, 1, 0.033290
3, 1, 0.045202
4, 1, 0.034580
5, 2, 0.031743
6, 3, 0.041073
7, 4, 0.057181
8, 5, 0.060258
9, 6, 0.057243
10, 7, 0.113283
11, 8, 0.142053
12, 9, 0.207154
13, 7, 0.072653
14, 8, 0.071616
15, 9, 0.084878
16, 8, 0.078381
17, 8, 0.075665
18, 8, 0.073086
19, 9, 0.082501
20, 8, 0.073988
21, 9, 0.080211
22, 9, 0.078656
23, 10, 0.091605
24, 11, 0.101694
25, 12, 0.108673
26, 13, 0.115125
27, 14, 0.125099
28, 15, 0.141256
29, 16, 0.135584
30, 17, 0.171734
31, 18, 0.169224
32, 19, 0.194567
33, 20, 0.179331
34, 10, 0.142235
35, 10, 0.090918
36, 11, 0.125459
37, 11, 0.104036
38, 12, 0.103540
39, 11, 0.099973
40, 10, 0.092163
2, 1, 0.024962
3, 1, 0.022899
4, 2, 0.034582
5, 3, 0.050134
6, 4, 0.040649
7, 5, 0.046717
8, 6, 0.055358
9, 6, 0.060566
10, 5, 0.071285
11, 6, 0.066597
12, 7, 0.125436
13, 8, 0.071288
14, 6, 0.063973
15, 6, 0.056624
16, 7, 0.066951
17, 7, 0.067583
18, 8, 0.073426
19, 4, 0.052675
20, 5, 0.048357
21, 6, 0.055575
22, 7, 0.065955
23, 7, 0.068753
24, 8, 0.073523
25, 7, 0.090276
26, 8, 0.085190
27, 7, 0.070840
28, 8, 0.073990
29, 8, 0.072125
30, 9, 0.079008
31, 10, 0.088497
32, 11, 0.092184
33, 12, 0.116353
34, 13, 0.179393
35, 14, 0.133702
36, 11, 0.146867
37, 12, 0.156967
38, 12, 0.168927
39, 9, 0.127955
40, 10, 0.122230
